Message,Reply
Please confirm your ID number,0402055190084
are you using neovim or vim,Neovim babes
i need those tips you got from our honours demi,? What tips?
idk did he not give you any tips,Nah 
do you have an iron,No 
did this hun not give you sumn for chapter 1&2 of international fin,Nah she didn’t
also are you going to dylans braai thin?,"Nope, got meeting and too much work"
Missed voice call,Sorry can’t answer
meeting??,Yeah for data science
what did you do for financial markets,"I’m just reading over it, don’t have it in me to do anything else"
feel like buying notes for fin markets chapter 1 & 2,Fairs
is it bad?,Nah just boring theory honestly
coz these people have me stressing bout compsci,Stressing about? This hand in?
and whether i should call it on ecos and focus on compsci,Fairs
how far are you?,Haven’t started
wait how was your hell thursday and friday,Bro
that one 18 mark question for ecos cooked me,Dude same
but everything else worked,That’s good though
and compsci handin i didn’t touch subdef,Will get 75 probably if everything is working
padel tomorrow?,Damn I’m writing tmrw and then already playing paddle after at 6 so can’t 
how are you not crashing out,Who says I’m not
how was ecos for you?,Yeah same as you
and happy belated on the big two one,thanks babes
excited for saturday,fr fr
for mathstats did you use a tutor or nah?,I did but cancelled cos it was a waste of time
"for padel tho, lockhat and i were saying we should set a time and play every week same time if you down from next term?",Yeah I’m keen for that
do you have a thing where you wrote every proof?,I did but do t have it any more
how did you know which proofs to learn,They should tell you
Bro ive BEEEN writing like I haven't seen the gym in forever  but I've been good ma boy. You?,Ye been getting fucked by uni but not bad 
When we hitting a sesh ma boy?,What you hitting today?
Do you take math stats ma boy?,Yeah 
Bro... you literally get distinctions for everything ma boy ,Yeah maths stats is a different animal
What you hitting tmw my g?,Rest day babes
You going to Dils rugby game g?,Nah nah
Yoh the marks I've seen oaks get for that thing is insane,Ah bro I can imagine
"Eyo Nic ma boy, you rate people were touched by my lizzo jokes at the braai I was about to drop more bombs on the group,  and Reese was like nah nah",Ah bro Im sure  I thought it was great though 
"Nic ma boy, how you doing brother? 

Surely a young gym sesh sometime sir",Whatsup broski. How’ve you been?? Surely some arms tomorrow?
"I been good my g. You?
I'd be so keen, but I haven't gymed jn forever and I think ima hold you back with the weight iwl

Gimme a week or 2 and we'll be back in it",You been good bro
"I been good my g. You?
I'd be so keen, but I haven't gymed jn forever and I think ima hold you back with the weight iwl

Gimme a week or 2 and we'll be back in it",Ok bet. I better start seeing you at gym again soon
You gonna go our for golden week ma boy?,Nah don’t think so g  I got a lot of shit to do already. Comp sci is going crazy this semester
Nah ill be there. Have you been consistent my g?,I’ve been trying bro but I didn’t do much in joburg. Getting back into it now
"Yeah ma boy I feel you, I'm also not sending it hard this week, my body is getting too old for that shii",Bro that’s what I’ve beeeen saying. My hangovers have been like 10 times worse recently. You been out this week??
"I'd be keen ma boy, for padel aswell, are you keen?",I’m so keen bro. You should tell Reece to come tmrw too
"I did ma boy, I'm feeling lekker fragile

What's the plan for today ma boy? We gonna hit a young padel sesh or go out?", I’m honestly not sure yet. No one is responding. You free tomorrow? Dylan’s down to play paddle on Saturday
Josh and Dylan were out last night  I saw those brothers at fools ,Yeah I know they spawn at fools I swear
I'm keen for anything ma boy  you lemme know and I'm down for sure,Ok awe ill let you know when I know. If we do play paddle tomorrow it’ll have to be sort of early if that works?
